utc_timestamp,cet_cest_timestamp,NL_load_actual_entsoe_transparency,NL_load_forecast_entsoe_transparency
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,9401,8937
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,8957,8608
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,8462,8462
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,8156,8500
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,8126,8880
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,8292,9995
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,8638,11882
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,8927,13240
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,9312,13817
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,9933,14072
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,10432,14182
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,11919,14036
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,11951,14014
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,12067,13916
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,11829,13895
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,12087,14432
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,12683,15195
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,12299,14731
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,11716,14195
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,11365,13534
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,10878,12661
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,10563,11685
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,9824,10702
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,8995,9701
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,8303,8999
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,7876,8628
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,7700,8476
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,7771,8499
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,8255,8868
